REEF_ID,SECTOR,SHELF,REEF_NAME,LATITUDE,LONGITUDE,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,REPORT_YEAR,P_CODE,YEAR_CODE,VISIT_NO,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1993,RMRAP,201193,1,26/09/1993,1993,9,,,,,,,,,,,,,,26/09/1993,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1994,RM,201294,2,1/01/1994,1994,1,,,,,,,,,,,,,,1/01/1994,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1995,RMRAP,201395,3,23/02/1995,1995,2,,,,,,,,,,,,,,23/02/1995,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1996,RM,201496,4,9/04/1996,1996,4,,,,,,,,,,,,,,9/04/1996,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1997,RM,201597,5,22/09/1997,1997,9,,,,,,,,,,,,,,22/09/1997,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1998,RM,201698,6,24/05/1998,1998,5,,,,,,,,,,,,,,24/05/1998,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1999,RAP,201799,7,11/12/1999,1999,12,,,,,,,,,,,,,,11/12/1999,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2000,RM,201900,8,15/12/2000,2000,12,,,,,,,,,,,,,,15/12/2000,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2001,RM,202001,9,1/04/2001,2001,4,,,,,,,,,,,,,,1/04/2001,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2002,RM,202102,10,25/07/2002,2002,7,,,,,,,,,,,,,,25/07/2002,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2003,RAP,202203,11,6/01/2003,2003,1,,,,,,,,,,,,,,6/01/2003,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2004,RAP,202304,12,26/01/2004,2004,1,,,,,,,,,,,,,,26/01/2004,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2005,RM,202405,13,5/11/2005,2005,11,,,,,,,,,,,,,,5/11/2005,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2006,RM,202506,14,6/01/2006,2006,1,,,,,,,,,,,,,,6/01/2006,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2007,RAP,202607,15,21/12/2007,2007,12,,,,,,,,,,,,,,21/12/2007,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2008,RM,202708,16,15/08/2008,2008,8,,,,,,,,,,,,,,15/08/2008,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2009,RM,202809,17,29/10/2009,2009,10,,,,,,,,,,,,,,29/10/2009,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2010,RM,202910,18,7/08/2010,2010,8,,,,,,,,,,,,,,7/08/2010,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2011,RM,203011,19,30/01/2011,2011,1,,,,,,,,,,,,,,30/01/2011,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2012,RAP,203112,20,30/05/2012,2012,5,,,,,,,,,,,,,,30/05/2012,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2013,RM,203213,21,21/04/2013,2013,4,,,,,,,,,,,,,,21/04/2013,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2014,RAP,203314,22,8/08/2014,2014,8,,,,,,,,,,,,,,8/08/2014,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2015,RM,203415,23,8/12/2015,2015,12,,,,,,,,,,,,,,8/12/2015,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2016,RM,203516,24,7/03/2016,2016,3,,,,,,,,,,,,,,7/03/2016,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2017,RAP,203617,25,7/02/2017,2017,2,,,,,,,,,,,,,,7/02/2017,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2018,RM,203718,26,11/02/2018,2018,2,,,,,,,,,,,,,,11/02/2018,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2019,RM,203819,27,21/02/2019,2019,2,,,,,,,,,,,,,,21/02/2019,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2020,RMRAP,201920,28,23/11/2019,2019,11,31.4,30,2.5,2.5,0,2.845,2.414,0.69,4,29,0.138,4,0.137931034,23/11/2019,70.6,8.73,0.91,19.76
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2021,RM,202021,29,12/12/2020,2020,12,32.6,30.5,2.5,2.5,0,5.625,2.292,0.729,2,24,0.083,4,0.166666667,12/12/2020,67.84,10.22,0.7,21.24
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2022,RM,204122,30,27/06/2022,2022,6,,,,,,,,,,,,,,27/06/2022,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2023,RM,204223,31,2/06/2023,2023,6,,,,,,,,,,,,,,2/06/2023,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2024,RM,204324,32,15/04/2024,2024,4,,,,,,,,,,,,,,15/04/2024,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2025,RAP,204425,33,15/05/2025,2025,5,,,,,,,,,,,,,,15/05/2025,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2026,RM,204526,34,9/10/2026,2026,10,,,,,,,,,,,,,,9/10/2026,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1993,RM,201193,1,5/01/1993,1993,1,,,,,,,,,,,,,,5/01/1993,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1994,RM,201294,2,6/11/1994,1994,11,,,,,,,,,,,,,,6/11/1994,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1995,RAP,201395,3,20/12/1995,1995,12,,,,,,,,,,,,,,20/12/1995,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1996,RAP,201496,4,5/04/1996,1996,4,,,,,,,,,,,,,,5/04/1996,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1997,RM,201597,5,19/12/1997,1997,12,,,,,,,,,,,,,,19/12/1997,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1998,RM,201698,6,4/02/1998,1998,2,,,,,,,,,,,,,,4/02/1998,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1999,RAP,201799,7,6/04/1999,1999,4,,,,,,,,,,,,,,6/04/1999,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2000,RAP,201900,8,5/01/2000,2000,1,,,,,,,,,,,,,,5/01/2000,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2001,RM,202001,9,20/03/2001,2001,3,,,,,,,,,,,,,,20/03/2001,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2002,RM,202102,10,17/01/2002,2002,1,,,,,,,,,,,,,,17/01/2002,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2003,RM,202203,11,11/10/2003,2003,10,,,,,,,,,,,,,,11/10/2003,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2004,RM,202304,12,13/11/2004,2004,11,,,,,,,,,,,,,,13/11/2004,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2005,RM,202405,13,11/05/2005,2005,5,,,,,,,,,,,,,,11/05/2005,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2006,RM,202506,14,22/02/2006,2006,2,,,,,,,,,,,,,,22/02/2006,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2007,RM,202607,15,20/11/2007,2007,11,,,,,,,,,,,,,,20/11/2007,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2008,RMRAP,202708,16,2/02/2008,2008,2,,,,,,,,,,,,,,2/02/2008,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2009,RM,202809,17,14/03/2009,2009,3,,,,,,,,,,,,,,14/03/2009,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2010,RM,202910,18,18/08/2010,2010,8,,,,,,,,,,,,,,18/08/2010,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2011,RM,203011,19,1/03/2011,2011,3,,,,,,,,,,,,,,1/03/2011,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2012,RM,203112,20,3/10/2012,2012,10,,,,,,,,,,,,,,3/10/2012,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2013,RM,203213,21,6/12/2013,2013,12,,,,,,,,,,,,,,6/12/2013,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2014,RM,203314,22,4/05/2014,2014,5,,,,,,,,,,,,,,4/05/2014,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2015,RM,203415,23,14/01/2015,2015,1,,,,,,,,,,,,,,14/01/2015,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2016,RM,203516,24,28/12/2016,2016,12,,,,,,,,,,,,,,28/12/2016,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2017,RM,203617,25,,2017,11,,,,,,,,,,,,,,,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2018,RAP,203718,26,28/03/2018,2018,3,,,,,,,,,,,,,,28/03/2018,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2019,RM,203819,27,16/11/2019,2019,11,,,,,,,,,,,,,,16/11/2019,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2020,RMRAP,201920,28,23/11/2019,2019,11,31.4,30,2.5,2.5,0,2.845,2.414,0.69,4,29,0.138,4,0.137931034,24/11/2019,66.95,8.42,1.02,23.62
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2021,RM,202021,29,12/12/2020,2020,12,32.6,30.5,2.5,2.5,0,5.625,2.292,0.729,2,24,0.083,4,0.166666667,12/12/2020,63.89,12.57,1.3,22.24
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2022,RM,204122,30,10/05/2022,2022,5,,,,,,,,,,,,,,10/05/2022,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2023,RAP,204223,31,5/02/2023,2023,2,,,,,,,,,,,,,,5/02/2023,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2024,RM,204324,32,18/02/2024,2024,2,,,,,,,,,,,,,,18/02/2024,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2025,RM,204425,33,19/01/2025,2025,1,,,,,,,,,,,,,,19/01/2025,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2026,RM,204526,34,10/01/2026,2026,1,,,,,,,,,,,,,,10/01/2026,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1993,RM,201193,1,21/02/1993,1993,2,,,,,,,,,,,,,,21/02/1993,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1994,RM,201294,2,20/11/1994,1994,11,,,,,,,,,,,,,,20/11/1994,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1995,RM,201395,3,5/02/1995,1995,2,,,,,,,,,,,,,,5/02/1995,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1996,RM,201496,4,8/01/1996,1996,1,,,,,,,,,,,,,,8/01/1996,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1997,RAP,201597,5,15/01/1997,1997,1,,,,,,,,,,,,,,15/01/1997,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1998,RAP,201698,6,25/02/1998,1998,2,,,,,,,,,,,,,,25/02/1998,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1999,RAP,201799,7,30/01/1999,1999,1,,,,,,,,,,,,,,30/01/1999,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2000,RM,201900,8,2/10/2000,2000,10,,,,,,,,,,,,,,2/10/2000,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2001,RAP,202001,9,7/01/2001,2001,1,,,,,,,,,,,,,,7/01/2001,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2002,RM,202102,10,27/04/2002,2002,4,,,,,,,,,,,,,,27/04/2002,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2003,RAP,202203,11,26/12/2003,2003,12,,,,,,,,,,,,,,26/12/2003,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2004,RM,202304,12,4/02/2004,2004,2,,,,,,,,,,,,,,4/02/2004,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2005,RM,202405,13,17/05/2005,2005,5,,,,,,,,,,,,,,17/05/2005,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2006,RAP,202506,14,9/02/2006,2006,2,,,,,,,,,,,,,,9/02/2006,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2007,RM,202607,15,7/09/2007,2007,9,,,,,,,,,,,,,,7/09/2007,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2008,RAP,202708,16,1/01/2008,2008,1,,,,,,,,,,,,,,1/01/2008,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2009,RM,202809,17,20/09/2009,2009,9,,,,,,,,,,,,,,20/09/2009,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2010,RM,202910,18,19/02/2010,2010,2,,,,,,,,,,,,,,19/02/2010,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2011,RM,203011,19,14/05/2011,2011,5,,,,,,,,,,,,,,14/05/2011,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2012,RM,203112,20,21/02/2012,2012,2,,,,,,,,,,,,,,21/02/2012,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2013,RMRAP,203213,21,20/09/2013,2013,9,,,,,,,,,,,,,,20/09/2013,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2014,RMRAP,203314,22,27/10/2014,2014,10,,,,,,,,,,,,,,27/10/2014,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2015,RM,203415,23,18/02/2015,2015,2,,,,,,,,,,,,,,18/02/2015,,,,
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2016,RAP,203516,24,21/10/2016,2016,10,,,,,,,,,,,,,,21/10/2016,,,,
