REEF_ID,SECTOR,SHELF,REEF_NAME,LATITUDE,LONGITUDE,P_CODE,YEAR_CODE,VISIT_NO,REPORT_YEAR,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,REEF_YEAR_CODE_ID,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199293,1,1993,11/06/1993,1993,6,16028S199293,26.2,28.8,20,0,5,25.758,0,2.576,0,33,0,0,0,1,-16.383517,145.57095,12/06/1993,30.64,24.77,17.82,26.78
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199293,1,1993,11/06/1993,1993,6,16028S199293,26.2,28.8,20,0,5,25.758,0,2.576,0,33,0,0,0,2,-16.386483,145.5726,12/06/1993,35.83,29.91,13.09,21.17
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199293,1,1993,11/06/1993,1993,6,16028S199293,26.2,28.8,20,0,5,25.758,0,2.576,0,33,0,0,0,3,-16.390217,145.57345,12/06/1993,37.57,35.81,11.2,15.42
11049S,CG,M,11049S,-11.358333,143.333333,RM,201819,27,2019,24/01/2019,2019,1,11049S201819,31.3,30,2.5,2.5,0,4.122,2.23,0.946,1,37,0.027,13,0.351351351,1,-11.354533,143.33275,27/01/2019,58.32,14.44,1.03,26.22
11049S,CG,M,11049S,-11.358333,143.333333,RM,201819,27,2019,24/01/2019,2019,1,11049S201819,31.3,30,2.5,2.5,0,4.122,2.23,0.946,1,37,0.027,13,0.351351351,2,-11.3557,143.335783,28/01/2019,60.02,14.63,1.4,23.96
11049S,CG,M,11049S,-11.358333,143.333333,RM,201819,27,2019,24/01/2019,2019,1,11049S201819,31.3,30,2.5,2.5,0,4.122,2.23,0.946,1,37,0.027,13,0.351351351,3,-11.35715,143.339067,28/01/2019,60.29,21.23,0.89,17.59
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199596,4,1996,15/01/1996,1996,1,16028S199596,32.3,29.3,35,0,2.5,29.569,0,1.81,0,29,0,0,0,1,-16.383517,145.57095,7/01/1996,33.1,35,13.3,18.6
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199596,4,1996,15/01/1996,1996,1,16028S199596,32.3,29.3,35,0,2.5,29.569,0,1.81,0,29,0,0,0,2,-16.386483,145.5726,7/01/1996,34.93,39.38,11.49,14.19
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199596,4,1996,15/01/1996,1996,1,16028S199596,32.3,29.3,35,0,2.5,29.569,0,1.81,0,29,0,0,0,3,-16.390217,145.57345,7/01/1996,38.23,43.37,9.15,9.25
11049S,CG,M,11049S,-11.358333,143.333333,RMRAP,201920,28,2020,26/11/2019,2019,11,11049S201920,31.4,30,2.5,2.5,0,3.106,2.5,0.379,0,33,0,5,0.151515152,1,-11.354533,143.33275,25/12/2019,66.64,14.42,1.44,17.5
11049S,CG,M,11049S,-11.358333,143.333333,RMRAP,201920,28,2020,26/11/2019,2019,11,11049S201920,31.4,30,2.5,2.5,0,3.106,2.5,0.379,0,33,0,5,0.151515152,2,-11.3557,143.335783,26/11/2019,66.46,8.32,1.18,24.03
11049S,CG,M,11049S,-11.358333,143.333333,RMRAP,201920,28,2020,26/11/2019,2019,11,11049S201920,31.4,30,2.5,2.5,0,3.106,2.5,0.379,0,33,0,5,0.151515152,3,-11.35715,143.339067,26/11/2019,55.74,21.24,0.6,22.41
11049S,CG,M,11049S,-11.358333,143.333333,RM,202021,29,2021,10/12/2020,2020,12,11049S202021,32.6,30.5,2.5,2.5,0,7.568,2.5,0.946,12,37,0.324,24,0.648648649,1,-11.354533,143.33275,10/12/2020,48.79,25.42,3.29,22.49
11049S,CG,M,11049S,-11.358333,143.333333,RM,202021,29,2021,10/12/2020,2020,12,11049S202021,32.6,30.5,2.5,2.5,0,7.568,2.5,0.946,12,37,0.324,24,0.648648649,2,-11.3557,143.335783,10/12/2020,56.03,20.93,1.59,21.25
11049S,CG,M,11049S,-11.358333,143.333333,RM,202021,29,2021,10/12/2020,2020,12,11049S202021,32.6,30.5,2.5,2.5,0,7.568,2.5,0.946,12,37,0.324,24,0.648648649,3,-11.35715,143.339067,10/12/2020,47.7,26,0.6,25.7
11162S,CG,M,11162S,-11.6,143.291667,RMRAP,201920,28,2020,27/11/2019,2019,11,11162S201920,31.4,30,7.5,2.5,0,8.879,2.586,0.172,0,29,0,13,0.448275862,1,-11.597567,143.293967,27/11/2019,68.47,11.08,1.43,19.02
11162S,CG,M,11162S,-11.6,143.291667,RMRAP,201920,28,2020,27/11/2019,2019,11,11162S201920,31.4,30,7.5,2.5,0,8.879,2.586,0.172,0,29,0,13,0.448275862,2,-11.5989,143.298,27/11/2019,65.33,16.68,1.99,16
11162S,CG,M,11162S,-11.6,143.291667,RMRAP,201920,28,2020,27/11/2019,2019,11,11162S201920,31.4,30,7.5,2.5,0,8.879,2.586,0.172,0,29,0,13,0.448275862,3,-11.60075,143.301267,27/11/2019,58.07,16.71,0.99,24.18
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199697,5,1997,29/01/1997,1997,1,16028S199697,30.5,28.6,25,0,2.5,30.043,0,1.983,0,29,0,0,0,1,-16.383517,145.57095,29/01/1997,42.1,23.3,9.8,24.8
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199697,5,1997,29/01/1997,1997,1,16028S199697,30.5,28.6,25,0,2.5,30.043,0,1.983,0,29,0,0,0,2,-16.386483,145.5726,29/01/1997,37.05,34.69,11.2,17.06
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199697,5,1997,29/01/1997,1997,1,16028S199697,30.5,28.6,25,0,2.5,30.043,0,1.983,0,29,0,0,0,3,-16.390217,145.57345,29/01/1997,34.2,48.3,9.3,8.2
11162S,CG,M,11162S,-11.6,143.291667,RM,202021,29,2021,5/12/2020,2020,12,11162S202021,32.6,30.5,15,2.5,0,17.429,3,0.143,0,35,0,27,0.771428571,1,-11.597567,143.293967,5/12/2020,59.04,20.62,0.8,19.54
