REEF_ID,SECTOR,SHELF,REEF_NAME,LATITUDE,LONGITUDE,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,REPORT_YEAR,P_CODE,YEAR_CODE,VISIT_NO,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER,ALL_COVER
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1993,RMRAP,201193,1,26/09/1993,1993,9,33,30.5,45,2.5,0,47.941,0,0.147,0,77,0,9,0,26/09/1993,62.11,30.37,1.99,5.56,100.03
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1994,RM,201294,2,1/01/1994,1994,1,31.3,31.6,15,11.25,0,17.155,12.833,0.721,2,72,0,13,0.255555556,1/01/1994,23.25,57.2,17.44,2.1,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1995,RMRAP,201395,3,23/02/1995,1995,2,30.8,30,7.5,0,2.5,11.875,2.632,1.655,0,78,0,3,0,23/02/1995,38.52,37.51,22.9,1.1,100.03
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1996,RM,201496,4,9/04/1996,1996,4,31.9,30,2.5,7.5,2.5,4.881,9.636,1.308,0,80,0,0,0,9/04/1996,35.01,35.88,21.7,7.4,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1997,RM,201597,5,22/09/1997,1997,9,32.7,30.5,15,7.5,2.5,11.221,10.278,1.927,0,81,0,16,0.2,22/09/1997,58.05,35.1,1.1,5.74,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1998,RM,201698,6,24/05/1998,1998,5,30.5,30,15,2.5,2.5,21.234,0,1.625,0,30,0,76,1.436363636,24/05/1998,57.3,33.87,1.4,7.43,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,1999,RAP,201799,7,11/12/1999,1999,12,32,31.6,15,2.5,2.5,16.755,6.234,2.366,0,61,0.032,0,0,11/12/1999,28.72,25.16,34.13,12,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2000,RM,201900,8,15/12/2000,2000,12,30.9,30.5,35,0,0,35.938,0,1.115,0,48,0,8,0.125,15/12/2000,80.12,15.18,0.8,3.9,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2001,RM,202001,9,1/04/2001,2001,4,31.3,30.5,15,2.5,2.5,14.832,6.084,2.708,5,70,0,2,0.093333333,1/04/2001,48.1,8.9,31.87,11.1,99.97
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2002,RM,202102,10,25/07/2002,2002,7,33.5,30,25,7.5,2.5,21,8.51,2.5,0,113,0.035,24,0.208955224,25/07/2002,38.94,48.3,10.45,2.19,99.88
