SECTOR,SHELF,REEF_NAME,REEF_ID,YEAR_CODE,REEF_YEAR_CODE_ID,LATITUDE,LONGITUDE,P_CODE,VISIT_NO,REPORT_YEAR,SAMPLE_DATE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,TOWS,sample_year,sample_month,Temperature,Temperature_aveyearly
TO,M,(LITTLE) BROADHURST REEF,18106S,200203,18106S200203,-18.966667,147.7,RM,11,2003,20/03/2003,7.5,2.5,2.5,7.031,2.5,3.516,549,8.578,0,0,64,2003,3,31.6,30.1
TO,M,(LITTLE) BROADHURST REEF,18106S,199293,18106S199293,-18.966667,147.7,RM,1,1993,19/08/1992,5,0,0,5.776,0,0,2,0.034,0,0,58,1992,8,26.5,29.4
TO,M,(LITTLE) BROADHURST REEF,18106S,200304,18106S200304,-18.966667,147.7,RM,12,2004,2/05/2004,2.5,2.5,2.5,4.414,2.578,3.125,205,3.203,0,0,64,2004,5,28.3,29.7
TO,M,(LITTLE) BROADHURST REEF,18106S,199899,18106S199899,-18.966667,147.7,RM,7,1999,17/04/1999,15,2.5,2.5,26.396,2.5,2.333,1,0.017,0,0,60,1999,4,28.9,29.1
TO,M,(LITTLE) BROADHURST REEF,18106S,200102,18106S200102,-18.966667,147.7,RM,10,2002,21/08/2001,15,2.5,2.5,19.643,2.5,2.5,7,0.125,0,0,56,2001,8,27.4,30.1
TO,M,(LITTLE) BROADHURST REEF,18106S,199596,18106S199596,-18.966667,147.7,RM,4,1996,3/05/1996,15,0,0,17.941,0,0.196,0,0,0,0,51,1996,5,27.9,29.2
CG,M,11049S,11049S,201819,11049S201819,-11.358333,143.333333,RM,27,2019,24/01/2019,2.5,2.5,0,4.122,2.23,0.946,1,0.027,13,0.351351351,37,2019,1,31.3,30
CG,M,11049S,11049S,201920,11049S201920,-11.358333,143.333333,RMRAP,28,2020,26/11/2019,2.5,2.5,0,3.106,2.5,0.379,0,0,5,0.151515152,33,2019,11,31.4,30
CG,M,11049S,11049S,202021,11049S202021,-11.358333,143.333333,RM,29,2021,10/12/2020,2.5,2.5,0,7.568,2.5,0.946,12,0.324,24,0.648648649,37,2020,12,32.6,30.5
CG,M,11162S,11162S,201920,11162S201920,-11.6,143.291667,RMRAP,28,2020,27/11/2019,7.5,2.5,0,8.879,2.586,0.172,0,0,13,0.448275862,29,2019,11,31.4,30
CG,M,11162S,11162S,202021,11162S202021,-11.6,143.291667,RM,29,2021,5/12/2020,15,2.5,0,17.429,3,0.143,0,0,27,0.771428571,35,2020,12,32.6,30.5
CG,O,12071S,12071S,199596,12071S199596,-12.483333,143.75,RM,4,1996,21/09/1995,35,0,0,37.727,0,0.795,1,0.045,0,0,22,1995,9,28.5,29.8
PC,M,13063S,13063S,199293,13063S199293,-13.416667,143.816667,RM,1,1993,12/12/1992,20,0,5,23.836,0,2.74,1,0.014,0,0,73,1992,12,31.9,31.5
CG,O,12071S,12071S,202021,12071S202021,-12.483333,143.75,RM,29,2021,14/12/2020,25,7.5,0,29.185,7.065,1.087,0,0,2,0.086956522,23,2020,12,32.6,30.5
CG,O,12071S,12071S,201920,12071S201920,-12.483333,143.75,RMRAP,28,2020,3/12/2019,35,2.5,0,39.12,4.074,0.556,0,0,4,0.148148148,27,2019,12,33.5,30
PC,O,13040S,13040S,201819,13040S201819,-13.266667,143.941667,RM,27,2019,16/01/2019,25,2.5,2.5,27.436,2.821,2.5,0,0,61,1.564102564,39,2019,1,31.3,31.6
PC,O,13040S,13040S,200203,13040S200203,-13.266667,143.941667,RM,11,2003,18/07/2002,25,2.5,2.5,31.25,5.5,2.5,0,0,0,0,40,2002,7,29,32
PC,O,13040S,13040S,200506,13040S200506,-13.266667,143.941667,RAP,14,2006,7/10/2005,7.5,2.5,2.5,10.174,3.256,2.151,0,0,79,1.837209302,43,2005,10,33.9,31.8
PC,O,13040S,13040S,199394,13040S199394,-13.266667,143.941667,RM,2,1994,7/10/1993,35,0,2.5,34.671,0,1.776,0,0,0,0,38,1993,10,32.5,30.7
PC,O,13040S,13040S,199900,13040S199900,-13.266667,143.941667,RM,8,2000,11/10/1999,35,2.5,2.5,35.556,7.083,2.431,0,0,0,0,36,1999,10,32.8,30.7
PC,O,13040S,13040S,202021,13040S202021,-13.266667,143.941667,RM,29,2021,15/12/2020,35,2.5,2.5,35.25,6.833,1.722,0,0,26,0.577777778,45,2020,12,34.8,32.6
PC,O,13040S,13040S,201920,13040S201920,-13.266667,143.941667,RMRAP,28,2020,2/12/2019,7.5,2.5,0,16.556,4.49,1.122,0,0,49,1,49,2019,12,36.5,31.6
PC,M,13063S,13063S,200102,13063S200102,-13.416667,143.816667,RM,10,2002,12/07/2001,15,2.5,2.5,16.27,3.79,2.419,2,0.032,0,0,62,2001,7,28.8,31.5
PC,M,13063S,13063S,199596,13063S199596,-13.416667,143.816667,RM,4,1996,19/09/1995,20,0,0,21.034,0,1.078,8,0.138,0,0,58,1995,9,31.3,31.3
PC,M,13124S,13124S,199293,13124S199293,-13.866667,144.091667,RM,1,1993,11/12/1992,20,0,5,18,0,2.615,5,0.077,0,0,65,1992,12,31.9,31.5
PC,M,13063S,13063S,199899,13063S199899,-13.416667,143.816667,RM,7,1999,23/10/1998,25,2.5,2.5,21.136,3.136,1.909,3,0.055,0,0,55,1998,10,34.7,32
