REEF_ID,SECTOR,SHELF,REEF_NAME,LATITUDE,LONGITUDE,P_CODE,YEAR_CODE,VISIT_NO,REPORT_YEAR,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,REEF_YEAR_CODE_ID,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,RMRAP,201920,28,2020,23/11/2019,2019,11,11016S201920,31.4,30.0,2.5,2.5,0.0,2.845,2.414,0.69,4,29,0.138,4,0.137931034,1,-11.019933,143.25005,23/11/2019,70.6,8.73,0.91,19.76
11029S,CG,M,MONSOON REEF,-11.133333,143.258333,RMRAP,201920,28,2020,24/11/2019,2019,11,11029S201920,31.4,30.0,7.5,2.5,0.0,7.188,2.5,0.625,1,24,0.042,2,0.083333333,1,-11.126433,143.261483,24/11/2019,57.79,15.95,0.9,25.36
11049S,CG,M,11049S,-11.358333,143.333333,RM,201819,27,2019,24/01/2019,2019,1,11049S201819,31.3,30.0,2.5,2.5,0.0,4.122,2.23,0.946,1,37,0.027,13,0.351351351,1,-11.354533,143.33275,27/01/2019,58.32,14.44,1.03,26.22
11162S,CG,M,11162S,-11.6,143.291667,RMRAP,201920,28,2020,27/11/2019,2019,11,11162S201920,31.4,30.0,7.5,2.5,0.0,8.879,2.586,0.172,0,29,0.0,13,0.448275862,1,-11.597567,143.293967,27/11/2019,68.47,11.08,1.43,19.02
12056S,CG,O,MANTIS REEF,-12.275,143.891667,RM,201819,27,2019,20/01/2019,2019,1,12056S201819,31.3,30.0,15.0,2.5,0.0,16.771,3.542,0.667,0,60,0.0,47,0.783333333,1,-12.338017,143.8593,20/01/2019,52.91,41.82,3.91,1.37
12061S,CG,O,LAGOON REEF,-12.391667,143.741667,RM,201819,27,2019,18/01/2019,2019,1,12061S201819,31.3,30.0,35.0,2.5,0.0,39.864,3.5,1.591,0,55,0.0,9,0.163636364,1,-12.398283,143.751883,18/01/2019,58.88,30.67,5.4,5.04
13124S,PC,M,13124S,-13.866667,144.091667,RM,201819,27,2019,10/01/2019,2019,1,13124S201819,31.3,31.6,15.0,2.5,2.5,19.228,5.551,2.243,0,68,0.0,0,0.0,1,-13.8659,144.093167,12/01/2019,53.0,21.96,13.59,11.44
13130S,PC,O,DAVIE REEF,-13.975,144.458333,RM,201819,27,2019,7/01/2019,2019,1,13130S201819,31.3,31.6,25.0,2.5,2.5,27.5,3.578,2.5,1,51,0.02,19,0.37254902,1,-13.9655,144.45645,8/01/2019,43.88,47.42,4.17,4.54
14016S,PC,M,CORBETT REEF,-14.0,144.108333,RM,201819,27,2019,10/01/2019,2019,1,14016S201819,31.3,31.6,15.0,2.5,2.5,14.1,2.5,2.45,0,100,0.0,85,0.85,1,-13.90475,144.236417,11/01/2019,51.97,23.77,1.07,23.19
14045S,PC,O,SAND BANK NO 1 REEF,-14.191667,144.916667,RM,201819,27,2019,5/01/2019,2019,1,14045S201819,31.3,31.6,15.0,2.5,2.5,14.464,4.048,2.5,0,42,0.0,35,0.833333333,1,-14.191183,144.891367,5/01/2019,59.4,25.49,12.05,3.05
14114S,CL,M,MACGILLIVRAY REEF,-14.65,145.491667,RM,199293,1,1993,9/05/1993,1993,5,14114S199293,27.5,29.1,40.0,0.0,5.0,34.643,0.0,5.714,6,14,0.429,0,0.0,1,-14.648333,145.491,11/05/1993,38.01,24.45,3.13,34.41
14116S,CL,M,LIZARD ISLAND,-14.675,145.466667,RM,199394,2,1994,10/10/1993,1993,10,14116S199394,29.5,29.1,25.0,0.0,2.5,23.716,0.0,1.689,17,74,0.23,0,0.0,1,-14.691467,145.469233,12/10/1993,59.98,11.05,17.94,11.03
14123S,CL,I,MARTIN REEF(14123),-14.766667,145.358333,RM,199293,1,1993,5/05/1993,1993,5,14123S199293,27.5,29.1,20.0,0.0,5.0,22.25,0.0,2.8,0,50,0.0,0,0.0,1,-14.7553,145.372233,6/05/1993,25.69,16.59,5.33,52.39
14126S,CL,I,LINNET REEF,-14.783333,145.341667,RM,199495,3,1995,24/10/1994,1994,10,14126S199495,29.9,29.3,25.0,0.0,0.0,34.414,0.0,1.172,2,32,0.063,0,0.0,1,-14.785167,145.355167,23/10/1994,55.27,34.17,4.68,5.88
14137S,CL,O,CARTER REEF,-14.55,145.583333,RM,199293,1,1993,22/05/1993,1993,5,14137S199293,27.5,29.1,5.0,0.0,0.0,16.488,0.0,1.548,0,84,0.0,0,0.0,1,-14.523517,145.581983,23/05/1993,90.09,7.54,1.05,1.32
14138S,CL,O,YONGE REEF,-14.6,145.625,RM,199293,1,1993,16/05/1993,1993,5,14138S199293,27.5,29.1,5.0,0.0,0.0,14.259,0.0,0.556,0,81,0.0,0,0.0,1,-14.570117,145.618267,21/05/1993,77.95,14.3,2.2,5.56
14139S,CL,O,NO NAME REEF,-14.65,145.65,RM,199394,2,1994,21/10/1993,1993,10,14139S199394,29.5,29.1,25.0,0.0,0.0,29.213,0.0,1.019,0,54,0.0,0,0.0,1,-14.627867,145.645333,23/10/1993,55.74,17.86,15.89,10.51
14143S,CL,M,NORTH DIRECTION REEF,-14.741667,145.508333,RM,199394,2,1994,13/10/1993,1993,10,14143S199394,29.5,29.1,45.0,0.0,2.5,40.515,0.0,3.382,1,17,0.059,0,0.0,1,-14.74355,145.515767,14/10/1993,57.73,21.95,1.48,18.84
15099C,CA,O,AGINCOURT REEFS (NO 1),-16.05,145.858333,RM,199596,4,1996,10/01/1996,1996,1,15099C199596,32.3,29.3,7.5,0.0,0.0,13.621,0.0,1.034,0,29,0.0,0,0.0,1,-16.038383,145.868767,11/01/1996,35.27,26.35,31.09,7.29
16015S,CA,M,MACKAY REEF,-16.05,145.65,RM,199293,1,1993,13/06/1993,1993,6,16015S199293,26.2,28.8,40.0,0.0,5.0,35.435,0.0,3.478,1,23,0.043,0,0.0,1,-16.042633,145.65455,14/06/1993,55.09,27.61,3.3,13.99
16019S,CA,O,ST CRISPIN REEF,-16.108333,145.833333,RM,199293,1,1993,20/06/1993,1993,6,16019S199293,26.2,28.8,20.0,0.0,0.0,18.283,0.0,1.061,1,99,0.01,0,0.0,1,-16.071583,145.84515,21/06/1993,41.77,20.47,30.69,7.07
16025S2,CA,O,OPAL (2),-16.216667,145.891667,RM,199495,3,1995,10/04/1995,1995,4,16025S2199495,31.2,29.4,25.0,0.0,0.0,22.821,0.0,0.643,0,70,0.0,0,0.0,1,-16.203433,145.9062,10/04/1995,32.12,31.16,33.72,2.99
