SECTOR,SHELF,REEF_NAME,REEF_ID,YEAR_CODE,REEF_YEAR_CODE_ID,LATITUDE,LONGITUDE,P_CODE,VISIT_NO,REPORT_YEAR,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER
CL,M,LOW ISLANDS REEF,23051S,199688,18083S200708,-15.352807,148.118575,RM,5,1997,13/01/2004,1997,3,31.1,28.6,26.015,0.2,2.5,23.64,0.141,1.801,5,38,0.014,1,0.005298174,3,-21.699047,146.197071,7/01/2004,41.52,8.88,1,14.83
SW,O,21302S,15099C,200104,16049S199495,-16.043722,146.097574,RM,16,2007,5/12/2020,2003,9,32.3,26.4,25.197,2.55,2.42,43.936,2.943,0.568,2,65,0,2,0.042163067,1,-23.773614,145.577668,11/04/1994,50.61,11.12,2.02,13.8
TO,O,POMPEY REEF (NO 2),18086S,202021,17014S201112,-18.008293,146.999863,RAP,20,2019,28/11/2004,2019,11,31.5,29.7,5.279,2.5,0.01,4.611,3.099,1.428,2,115,0.009,13,0.324816484,3,-14.733501,147.645447,24/10/2002,88.32,2.06,2.53,18.29
TO,M,LOW ISLANDS REEF,23081S,201934,16049S199293,-20.808709,145.777029,RMRAP,16,2002,8/12/1998,2010,5,30,28.6,2.749,0.19,2.46,18.798,2.966,2.883,1,39,0.2,24,0.292699252,2,-21.833611,146.360598,25/01/1999,61.42,17.57,1.1,17.62
CA,M,21591S,18086S,201785,14138S199798,-11.737808,143.833464,RM,29,2017,7/05/2016,2007,4,30.1,28.8,4.174,2.42,0,28.88,2.733,1.679,2,50,0.025,14,0.286460912,3,-14.895705,145.412932,1/02/1998,80.21,13.82,16.06,5.73
TO,M,AGINCOURT REEFS (NO 1),16019S,199938,16049S199293,-15.839711,145.782455,RM,27,2017,2/12/2008,2000,9,31.6,29.5,7.705,7.35,0.06,16.536,3.558,1.143,2,19,0.035,0,0.209074638,1,-14.396783,145.648583,17/12/2016,26.96,3.62,0.79,5.02
CL,O,LOW ISLANDS REEF,18075S,201876,16049S199495,-15.877913,145.773947,RM,16,2016,19/09/2001,2009,9,27.2,29.8,7.723,2.57,2.45,10.156,8.076,0,1,124,0.022,10,0.69183306,1,-21.455214,146.151115,29/01/1999,52.42,12.71,0.69,2.71
CB,O,DIP REEF,23081S,200624,16068S201819,-21.58714,143.25,RM,7,2015,8/01/2010,2010,1,30.5,25.7,8.342,2.48,2.47,25.375,3.598,0.852,1,95,0.103,50,0.594829546,1,-21.84078,149.612897,3/09/2000,48.46,67.54,0.81,9.35
TO,M,TAYLOR REEF,16068S,202021,23082S201920,-18.119269,147.42494,RAP,26,2013,26/08/2014,2018,5,28.7,28.9,4.506,2.41,0,2.5,2.319,0.612,0,27,0,33,0.591487058,3,-18.032233,145.909006,27/01/2019,66.63,4.32,1.34,5.53
IN,M,MYRMIDON REEF,16049S,201971,14138S200405,-18.361009,149.518784,RAP,21,2009,20/05/2008,2013,12,27.9,29.4,35.626,2.48,2.46,20.785,4.061,2.348,2,59,0.028,215,0.552788504,1,-21.925146,147.537135,22/03/2014,74.01,8.66,18.77,5.97
PO,O,THETFORD REEF,16028S,201506,23080S201516,-22.693784,151.635822,RAP,8,2015,14/01/2021,2013,8,28.3,25.7,25.497,2.55,2.45,42.277,8.011,0.348,1,41,0,1,0.675575456,2,-21.821155,151.472522,11/11/2006,35.25,11.9,0,2.2
CB,M,MARTIN REEF(14123),16060S,200355,18086S201213,-20.950341,148.803639,RAP,10,2021,24/09/2001,1996,2,31.7,27.2,35.83,2.43,2.45,12.935,0.511,2.126,0,56,0,0,0,1,-14.746151,149.338163,17/09/2001,57.3,31.94,2.05,4.15
CA,O,TURNER REEF,21245S,201403,21556S201213,-20.544304,152.287442,RAP,24,2012,5/08/2001,2010,1,28.9,25.2,25.515,2.41,2.48,28.467,2.596,1.204,3,56,0.088,1,3.212933937,1,-23.890883,152.570492,11/01/2016,35.79,59.64,3.02,0.67
SW,O,MICHAELMAS REEF,23048S,200681,16015S201819,-21.864081,145.465264,RM,19,2014,11/09/2002,1998,9,28.1,26,54.478,2.57,2.44,27.024,3.025,1.493,0,63,0.021,1,0.665680658,2,-22.029627,143.559482,7/12/1997,17.51,47.66,0.21,3.53
SW,O,HASTINGS REEF,21305S,201035,16019S200506,-21.0763,152.028682,RAP,21,2003,31/10/2003,2016,7,29.8,25.3,25.368,2.41,2.51,34.516,2.928,0.735,1,56,0.011,0,1.610021149,1,-23.011584,152.298713,25/11/2004,21.59,18.76,1.64,3.85
CA,M,MACGILLIVRAY REEF,16015S,199954,16015S202021,-15.799291,146.091267,RM,21,2010,5/12/2020,2010,3,27.7,28.3,15.133,7.63,0,12.362,22.935,2.289,4,84,0,0,0,2,-17.111263,145.720073,26/11/2009,27.41,12.78,1.6,2.79
PO,M,11049S,18034S,201329,18075S200203,-16.307576,143.25,RAP,20,2016,28/11/2011,2021,7,23.7,32.3,14.367,2.42,2.47,2.5,6,1.804,2,39,0,49,0.821678288,1,-13.720426,152.062685,3/10/1992,53.9,32.01,1.62,9.32
TO,M,FARQUHARSON REEF (NO 1),21302S,202021,18030S200910,-11.025,147.611716,RAP,23,2020,10/05/2005,2012,8,28.6,27,25.798,2.56,0,4.783,3.301,2.106,0,52,0.017,46,0.681533449,3,-18.621035,147.545011,8/01/2004,76.82,0.1,9.98,5.49
TO,M,HELIX REEF,22102S,202021,14138S199899,-18.23583,147.375589,RAP,20,2017,2/05/2015,2021,4,28.1,27.4,4.084,2.31,2.48,2.547,2.432,0.471,3,22,0,14,0.258706693,2,-21.048685,147.176149,24/10/2002,76.54,9.48,0,5.18
